username,content
Della_JKT48,"Ada yg lagi ""uwuwuwan"" hahaha mangat dek dek ipuy~"
Della_JKT48,RT @detikhot: Cerita Della JKT48 Soal Perjuangan Fans Luar Kota
Della_JKT48,Rambut aku udah panjang nih yah..potong apa tidak yah
Della_JKT48,Makasih yah teater hari ini semuanya ahahah...tadi shimai no uta nyaa sabi kann? Ketemu di next show ya ya ya
Della_JKT48,Dan emang lagi menjaga sinusnya ahaahh Karena kalo keringetan cape kan abis itu pasti aku mau nya yg dingin2 ..abis itu kambuh deh Kan kcau
Della_JKT48,Aku ga ikut sisil saktia dan nadse berolahraga.dikarenakan kemageran dan tidak suka olahraga ahahaah
Della_JKT48,Hari ini makan banyak banget abis itu sugesti langsung chubby ahahha Ohiya besok teater yahhh cii yuuu
Della_JKT48,Hayy hay hay hay hay
Della_JKT48,Ga deh bercanda ahahah Udah ah mau bobok ..good night dan semangat yah besok aktifitasnyaa Jangan lupa berdoa
Della_JKT48,"Lagi kena virus drama korea goblin,padahal pemeran ny kaya udah berumur gitu tapi aku seneng banget liatnya ..jgn2 suka yg tuwa2? Ahaha"
Della_JKT48,Hari ini kenyang sekalii...gimanah nih hari inii ? kepoww
Della_JKT48,Sekarang mau siap2 makan abis itu ibadah hahahahah Yuhuyyyyyy Kalian jangan lupa kakan dan ibadah juga bagu yg menjalankan
Della_JKT48,Makasih show hari inii uhuyy~ abis nginep tempat feni gatau kenapa jadi kaya cacing kepanasan hari ini hahaha Ya ya ya happy sunday ya
Della_JKT48,Maaf yah kadella gabisa membimbing okta dan feny justru aku yg dibimbing
Della_JKT48,Happy birthday...
Della_JKT48,"Hari ini nonton resident evil jugaa,ahkirnya tersampaikan Banyak ngagetin yahhh untung aku tida penakut"
Della_JKT48,Hallo selamat malam hari ini bahagia sekali akuu ahahah Besok ketemu dteater yah dan jangan lupa ibadahh
Della_JKT48,Jadi malam ini mau ketempat feni hahahah
Della_JKT48,"Feni aku beliin churros yah @F_FeniJKT48 ,gamau tau nanti di mam yah cee yuu"
Della_JKT48,RT @Nadila_JKT48: JKT48 Cover by : @Nadila_JKT48 @Ayen_JKT48 @S_SiscaJKT48 @N_AurelJKT48 part. 1 - Beach Sandal
Della_JKT48,Hallo hari ini ibadah muda nihh Trus tadi sempet kfx ktmu lids nads dll hahaha Kalian kegiatannya ngaps niwhh?
Della_JKT48,Mungkin karna efek aku sering makan makanan yg berbentuk mie jadinya bengkak pipinya~padahal mie itu nikmat yg tida bisa didustakan ???
Della_JKT48,Aku bingung deh berat badan aku menurun tapi pipi aku tidak menggempes
Della_JKT48,Hari ini pulang bareng uty sama sinka Terus ngobrol2 deh dijalan jadi macetna ga kerasa deh.kalian apa aktivitasnya hari ini
Della_JKT48,Hallo makasih atas theater hari ini..tadi angkat poniwww
Della_JKT48,Shimai no utanya besok ngapain yah?temu kangen dteater yah
Della_JKT48,@Yona_JKT48 bgt
Della_JKT48,"Iya sore ini terlalu nyaman sama Kamu.. Salah,maksudnya kasur Aduh typo"
Della_JKT48,"Sore ini dtinggal sendirian di rumah,trus rencananya aku mau pergi blanja bulanan,beli2 yg dbutuhkan .tapi kasur dan cuaca berkata lain"
Della_JKT48,Yah intinya gitu Tadi aku sama saktiaa di hokaido nya bingug mau ngapain jadinya kita flight lagi ke jakarta Nih baru sampe @Via_JKT48
Della_JKT48,Trus sekarang lagi dijalan pulangg terus bosen mau ngapain karna masih macet sekali Ngapain yah asiknya?
Della_JKT48,Saktia padahal lebih besar tapi gkada ide ide seorang kakanya ahahha jadinya diem berjam2 sembari canda2 receh Sekian.. Kl kalian apa nih?
Della_JKT48,Bahkan tadi aku sama saktia pingin kesuatu tempat sore2.tapi kita gatau buka atau ga Trus kita telfonin smua cabang tempatnya
Della_JKT48,Sisil tadi mau diajak tapi sepertinya dia sibuk dengan kuliah nya. Kalo saktia kan santai sma kuliah kalo katanya enjoy dlu baru susah2
Della_JKT48,Jadi hari ini cuma ngobrol2 ala pemikiran kita seakal budi aja dan makan trus nemenin saktia membeli sesuatu deh Baik yah della
Della_JKT48,"Halllooo Hari ini seharian jalan sama saktia Trus kita sempet terombang ambing berjam2 tak ada arah,karna satu dan lain hal"
Della_JKT48,Lagi onsen sama k saktiaaa ...tadi sempet hujan saljuu tapi udah reda~
Della_JKT48,@Via_JKT48 dingin nih
Della_JKT48,Cie amel. @Lidya_JKT48 @Yona_JKT48 @Viny_JKT48 @Nadila_JKT48 @Sisil_JKT48 @Via_JKT48
Della_JKT48,"Uty nya udah gk dirumah aku,sekarang mau siap2 ketemu seseorang lagi..hayo tebak siapaaaa"
Della_JKT48,Siapa nihhh ????
Della_JKT48,Hallo selamat siang ada uty nih drumah aku hari ini ahhah Mau ngaps yah
Della_JKT48,Padahal es itu membahagiakan apalagi siang siang panas trus dbekasi kan Behh mantep
Della_JKT48,"Sedih banget sekarang,jadi kaya gabisa makan yg dingin2 atau ada esnya sedikit pun,setiap makan sinusnya langsung naik kekepala"
Della_JKT48,"Belum nonton karna nungguin adek aku mau nonton nih..aku gaberani nonton horor sendiri,takut beneran ada gitu lho"
Della_JKT48,"Huft,sepertinya resident evil sudah tayang tapi belom sempet2 bisa nonton Haft Bagus ga bagus ga?"
Della_JKT48,Gimana nih hari ini nih? Gmna teaternya? Shimai no utanya??
Della_JKT48,Tadi denger cerita saktiaa :( kasian dia kena musiba yg buat dia ceroboh
Della_JKT48,Terima kasih atas teater yg sangat seruuu hari ini..ketemu next yaaa Cee yuuu
Della_JKT48,@frieskaJKT48 aglio olio
Della_JKT48,RT @Via_JKT48: Ci @jcvanJKT48 raih setinggi tinggi nya yaaaa kita selalu di belakang kamu kita mungkin belum naik tangga bersama tapi ayo k
Della_JKT48,"Tadi sempet nonton teater tim k3 juga,,trus kaya aku yg kecapean karna lagunya ""wow,wow"" tapi keren kok"
Della_JKT48,"Selamat malam gimana hari ini nih?kalo aku seneng banget hari ini,soalnya ada sharing2 lucu gitu sebelum ibadah"
Della_JKT48,@Lidya_JKT48 kamerannya bagus yah
Della_JKT48,"Salah saktia tau... Dia malah gabaca hari ini latihan apa ga kan,trus aku blg ada latihan pagi sak:( Terus dia gabaca lagi kwkw"
Della_JKT48,Sak
Della_JKT48,@SinkaJ_JKT48 dudut
Della_JKT48,@shaniaJKT48 aku emang disiplin
Della_JKT48,Emang yah anak bekasi
Della_JKT48,Padahal barusan aku baca tweet sinka trus ngakak Aku kira maksud dia latihan jam 11 tapi dia malah jalan sama kakanya:(
Della_JKT48,Astaga aku juga kaya sinka salah baca jadwal :( Aku udah sampe jam 12 Ternyata latihannya sore
Della_JKT48,Happy sunday Hari ini ada aktivitas tapi tetao semangat yaaa
Della_JKT48,Selamat malam semuanya Hari ini hari yg luar biasa bahagianya Bisa keteater ketemu kalian abis itu rayain CY juga
Della_JKT48,Selamat malammm Hari ini seru yah makannya banyak sekali Trus sekarang mau mam durian Kalian apa aktivitasnya??
Della_JKT48,Gong xi gong xi ...
Della_JKT48,Aku imlekannya habis teater nih hahah Tapi ga pakai baju warna merah Karna nanti cantik banget
Della_JKT48,Jalanan dan cuaca hari ini sepi sepi mendung pas buat nostalgia wkwkwk Ketemu di show 1 yah
Della_JKT48,Lets sleep kemudian besok berjumpa dteater kemudian ampau waiting kasih aku ampau yahhh
Della_JKT48,Pingin badan tinggi deh Tapi gasuka minum susu
Della_JKT48,@Yona_JKT48
Della_JKT48,Gimana tadi shimai no utanya? Perayaan devils attack ke 2 tahun lho huhuyuu seru yahh
Della_JKT48,Semangat yah ci @jcvanJKT48 Kita menaiki jembatan bersama yah Nanti kalobutuh pemain musik lain call us right no
Della_JKT48,"@HannaSutiono_ jennifer hanna sutiono paradise,happy birthday yahh nak sukses teru ahahha Anggap aja saktia hanna"
Della_JKT48,Gara2 sebelom bobo aku nonton video G-friend gitu Jadinya terbawa deh ~ Temu kangen dteater yah hari ini
Della_JKT48,Wih masa bangun2 aku mimpi aku jadi personil girlband korea Trus aku cantik banget gitu disana trus terkenal hahah Tapi cuma mimpi
Della_JKT48,Jadi menyebalkan Ahhaah liat aja ntr aku jual mahal Aku tarik ulur
Della_JKT48,"Emang gitu kalo gengsi ketauan geernya,mainnya no mention"
Della_JKT48,Bukan ipuy kamu yah. Ipuy yg lain Jan gerr maaf
Della_JKT48,"Soalnya pesan itu aku kasih buat si ipuy dan mungkin member k3 new lainnya Emg over pd sih kwkwk have a good day next time y,uwuwuw"
Della_JKT48,"Kalo lagi bete bercanda aja abis itu pede aja,pikirnya kalian paling oke,keren..yg lain gabisa kalian doang yg bisa.sabi ga?"
Della_JKT48,"Wihh banyak yg ga baik kabarnya sepertinya ,semangat yah smuanya Semangat aja yahhh Intinya .."
Della_JKT48,"Jadi hari ini pergi smaa debby trus dtunguin latihan sama debby,abis itu kita makan malem brg deh hahahah Kalian gimana nih?"
Della_JKT48,Ini ujian
Della_JKT48,RT @Via_JKT48: Ucapan ulang tahun nya makasih ya semuanyaaa #DevilsBirthday
Della_JKT48,"Abis pergi sama debby trus mau berangkat ke tempat latihan,jadinya dia nungguin aku beraktifitas deh,kalian gmna aktivitasnya hari ini?"
Della_JKT48,@gabyJKT48 @Sisil_JKT48 @Via_JKT48 makasih yahh pendukung devils
Della_JKT48,@Nadila_JKT48 @Sisil_JKT48 @Via_JKT48 y
Della_JKT48,RT @Sisil_JKT48: Cie Selamat ulangtahun DevilsAttack Semoga kita bisa makin menghibur kalian dan kita berlanjut terus Tetap solid Devils
Della_JKT48,RT @Via_JKT48: Selamat ulang tahun devilsattack semoga kita sejahtera hidupnya dan membahagiakan banyak orang #devilsbirthday
Della_JKT48,Wih makasih senseiii uw stay tune devils terus y
Della_JKT48,Gakerasa udah dua tahun punya devils attack Cepet2 deh .....
Della_JKT48,Selamat ulang tahun devils attack @Sisil_JKT48 @Via_JKT48 ......#devilsbirthday
Della_JKT48,Ciehh ahkirnya memilih pulang kan haha @Sisil_JKT48 @Lidya_JKT48
Della_JKT48,@Via_JKT48 @Sisil_JKT48 Curang kan mereka jutek gitu~
Della_JKT48,@jcvanJKT48 hbd y
Della_JKT48,@jcvanJKT48 ci
Della_JKT48,@Herry_Garena ah gaya..biasanya kamu mah nonton tali pocong perawan
Della_JKT48,Aku udah ajakin bercanda nih... udh nyalahin flash hp Tapi merekaa udah kebal haha Dari pagi masa bobok melullu
Della_JKT48,"Sebus sama sisil saktia Tidur melulu,abis makan tidur trus bangun makan lagi tidur lagi Huft"
Della_JKT48,"Happy sunday hari ini ada kegiatan di bandung,semangat yes"
Della_JKT48,Tadi dikasih slime sama angell @S_AngelJKT48 uww gemesh Makasih yah dedek tayang uwuwwuw
Della_JKT48,Aduh maaf maksudnya mvp Biasa banyak pikiran masa depan jadi salah deh
Della_JKT48,"Makasih atas theater hari ini,seru banget yah hahhaha Makasih juga yg udah vip di aku twoshoot nya juga Ketemu next theater ya Cee u"
Della_JKT48,Hari ini betenya luar biasah menunggu antrian disuatu tempatt Tapi tetap semangatt yahh karna ntar malem teater
Della_JKT48,Bahagianya hari ini makan banyak sekali ahhaha Kalian gimana hari ini?
Della_JKT48,Kok masak sendiri sih:(? Aku gabisa masak nih Maunya dimasakin #cyemanja ahahahah
Della_JKT48,"""Laper yah makan,jangan ngetweet"" Makan apa yah enaknyaa selain jung food ???"
Della_JKT48,Laparrrr
Della_JKT48,Makasih yah teater hari iniiii yuhuyy hahaha Walaupun tadi banyak kejadian2 yg yg menegangkan tapi tetap dpenuhi tawa
Della_JKT48,@RChikanoJKT48 devils udah elit nih
Della_JKT48,"RT @RChikanoJKT48: Aduh, pertama kali ketemu DevilsAttack di 2017 Gimana nih nasib kalian, udah berubah belum ?? 2017 3 ( )"
Della_JKT48,Belum di upgrade twiternya
Della_JKT48,"Ada yg gaberes sama retweed dan favorite hari ini..buktinya tweetnya sama,emotnya juga ko"
Della_JKT48,"How your daay? hari ini tenggelam dengan buku dan games Hahahah... Besok theater,jangan lupa datang yaah, katanya ada yg special"
Della_JKT48,Besok teater nihh&gt;_&lt; Shimai no uta nya gimana yah asikny besookk??
Della_JKT48,RT @S_SiscaJKT48: Lihatlah Lebih Dekat (Petualangan Sherina) dalam nama Tuhan semoga bisa
Della_JKT48,Apa kabar nih??unm
Della_JKT48,Heyyyyy
Della_JKT48,Hari ini aku makan nya banyak banget nihh Pasti langsung gendut uww
Della_JKT48,Hallo apa nih kegiatannya hari ini? Kalo aku pergi sma kaka aku Trus ditraktirr seru banget &gt;_&lt;
Della_JKT48,Diem kalem
Della_JKT48,Hbd y
Della_JKT48,@F_FeniJKT48 fen
Della_JKT48,"Hari ini seneng banget yg biasa nya ibadah sendiri hari ini bareng sma gaby sma yupi,uww@ Selamat hari minggu yah gbu"
Della_JKT48,@RChikanoJKT48 aku lebih cocok yah *kaburr
Della_JKT48,Makasih yang udah menonton idol junior yah tadi ada aku &gt;_&lt; liat aku nda??
Della_JKT48,@Cindvia_JKT48 sok gaul
Della_JKT48,"RT @Official_MNCTV: Makin spesial #IdolJrBattle hari ini dengan penampilan dari kaka-kaka @officialJKT48. Yuk jangan sampai kelewatan, puku"
Della_JKT48,Itu yupi yg ngetweet ahah Della nya lagi makan cantik Sekarang mau aktifitass bareng2 nih
Della_JKT48,Terimakasih theater hariini~ ketemu Yupi senang bangeettt hehehe lagi mam nihhh karena laparrr... aku cantik kan?
Della_JKT48,Happy sunday Jangan lupa kegereja yah hari ini
Della_JKT48,Sebenernya kadang aku bisa serius kalo ga lagi sma saktia sisil haha kalo lagi sama mereka bawaannya pingin bercandaa sama aneh terus :(
Della_JKT48,Seharusnya dia traktir aku churros nih
Della_JKT48,Cue ngmgin surat yg della buat untuk yupi dari tadi Itu emang otakny lagi benar dan mencari inspirasi sampai subuh.
Della_JKT48,Hallooooooo gimana hari ini nih??
Della_JKT48,@Della_JKT48 @Cindvia_JKT48
Della_JKT48,Dan makasih juga buat @Viny_JKT48 yg udah bacain perwakilan surat aku untuk si ipuy hahaha
Della_JKT48,Hbd #Yup19reatestJourney smoga makin muda terus dan gaboleh menua yah hahah Harapannya yg bagus2 deh
Della_JKT48,Nanti malam sepertinya akan berkelana ditempat sisil haahha Kasian dia kesepian dijakarta yg keras ini
Della_JKT48,Ada yg ulang tahun yah hari inii??? Gausah diucapin kali ya..
Della_JKT48,@Sisil_JKT48 makasih yah udah nyelamtin aku waktu itu haha
Della_JKT48,Happy weekend Kegiatannya apa nihhh hari ini? Semangat dan semoga bahagia yah
Della_JKT48,@Nadila_JKT48 @Via_JKT48
Della_JKT48,Halo makasih yah buat teater hari ini Mvp 300 ke aku nya juga makasih Twoshootny juga makasih Ht dan vip makasih yah uww
Della_JKT48,"@M_DesyJKT48 @Viny_JKT48 @Lidya_JKT48 @S_OktaJKT48 maaf yah baru bales,abis show believe timJ nih"
Della_JKT48,Kaya aku tuh ngerti jalan ceritanya tapi susah deskripsikannya gtu Ngerti kan? Ngerti donng
Della_JKT48,"Jadi hari ini nonton lala land kemudian nangis Pas dtanya debby ""emang ngerti dell jalan ceritanya"" Aku bilang ""ga deb,tapi ini sedih bgt"""
Della_JKT48,Kepencet ga sadar...
Della_JKT48,@Lidya_JKT48 fix gengsi
Della_JKT48,"bangun bobo trus divideo callin sama @Lidya_JKT48 katanya ""kangen"" Trus kita saling cium kamera gtuu sma semangat2"
Della_JKT48,Mood siang ini dipersembahkan oleh monopoli online yg kalah 5x berturut2 Semangat yaaa~
Della_JKT48,@S_AngelJKT48 cie mau bawain shimai no uta nih? @Sisil_JKT48 @Via_JKT48
Della_JKT48,Tapi curry juga enak sih bbq an juga enak Smuanyaaa enakkk Udah ah capee bayangin makanan di jam segini
Della_JKT48,Iya emg gaya yah skg Sekarang juga lagi jrg makan nasi Soalnya cepet tembem nya kalo makan nasi hahah bwek
Della_JKT48,Iya sekarang kalo list desert lebih tertarik Soalnya kenyangnya lebih lama Kalo makan berat bosan Kalo ga ramen yah ayam Dellabgt itu._.
Della_JKT48,Banyak mau nih yah della sekarang Kemarin churros sekarang martabak besok apa yahhh?apa yah apayah?
Della_JKT48,Gara2 liat foto martabak nadse yg kaya pizza jadi kepinginnnn... Tapi dbekasi kyny gkada yg kaya gtu Apa bekasi aku doang?
Della_JKT48,@S_NadseJKT48 enak banget ih
Della_JKT48,Hari ini pulang bareng tnt caniyaaaaaaa Gimana nih hari iniii helloww??
Della_JKT48,Makasih teater hari inii uhuyy
Della_JKT48,@Nadila_JKT48 @Yona_JKT48 @Via_JKT48 hm
Della_JKT48,"Selesai berdoa kemudian ingin tidur,bobo nyenyak dan jangan lupa berdoa yah Hari Besokny semangat yah kaya aku pas lgi cari churros"
Della_JKT48,"@Via_JKT48 iya ka saktia gapap kokk jangan dipikirin yahhh,kasian otak kamuu gabisa berat2 daya kerjanya"
Della_JKT48,Ciye lala
Della_JKT48,Tenang2 udah sehat kok aku spertinyaa dan gkakan lempar hp dari dua lantai lagi:( Haha jadi see you yayy
Della_JKT48,"Jadi,jadi gimana hari ini kegiatannyaa nihhh ? Udah lama jarang bawel sma twiter deh kayanyaa.. Bsk ada teater tim j lho"
Della_JKT48,Gapapa lah gapapa Yg penting masa depan lancar jaya *gkadahubungannya*
Della_JKT48,"Tdk bakat sma hal yg berbau ""uang"" Kalo lgi bisnis di iya iyain aja harganya biar cpt Kalo jualan jrg laku krn gk kreatif Getrich pun sma"
Della_JKT48,"Hari ini kegiatannya main monopoli online terus bangkrut mulu gapernah menang, dari 3 minggu downoald baru menang 1x doang #luarbiasah"
Della_JKT48,Good night...
Della_JKT48,Gimana hari iniii halloo? Menyenangkan yah hahah Tadi sempet mampir ke fx tadinya mau nntn teater tim k3 trnyta ga sempat
Della_JKT48,Yaudah sekarang mau istirahat dulu yahh Biar cepat tertawa riaa lagi hahaha
Della_JKT48,@achanJKT48 gapap ay simpen aja uangnyaa
Della_JKT48,Padahal aku udah pasrah soalnya kebanting di dua lantai Haahha Ternyata aman
Della_JKT48,Tiba2 shania langsung chat gtu Gemes banget deh Galak2 gemesh hahah Trus cijeje juga ahhah
Della_JKT48,Terus aku masih diem kan Dekitar 2 menit Aku turun Trus pas aku liat hape aku bnr2 gkada retak atau apapun juga Bersyukur banget hahaha
Della_JKT48,"Aku lagi berdiri di edkalator lantai 2, Tiba2 pas lgi muter kepalanya,aku ga sengaja lempar hp aku dri lt2 sampe lantai paling bawah .."
Della_JKT48,Jadi tadi kan aku kaya turun eskalator kan Terus aku nengok kekanan trus langsug kaya muter gtu kan kepalanya Abis itu...
Della_JKT48,@shaniaJKT48 iyaa makasih tante yg perhatian banget sih..jadi nyaman deh
Della_JKT48,@shaniaJKT48
Della_JKT48,Hari ini dapet keajaiban yg luar biasaahhh Pujituhan
Della_JKT48,@Lidya_JKT48 @Yona_JKT48 hem
Della_JKT48,Hari ini mau ibadah sore abis itu ada kegiatan jkt juga deh&gt;_&lt; Kalo kalian apa nihh?
Della_JKT48,Happy sunday
Della_JKT48,Malam ini selamat dari suntikann dokter Uhuyyy
Della_JKT48,Hallooo makasih atas theater hari inii Yah walaupun pusing ny datangtapi tetap seru dan semangath kok
Della_JKT48,@S_AngelJKT48 iya makasih angel bawa churros y hri ini
Della_JKT48,@Via_JKT48 @kinalJKT48 kakina besok trajtir devils attack yah scara prived jangan lupa @Sisil_JKT48
Della_JKT48,Pas udah ke toko churosnya Ternyata kosong #gapapa
Della_JKT48,"Setelah mencari2 churros dideket daerah rumah Tibalah hujan besarr dan timbulah rasa malas :( emg gkjodoh dari kemarin,tapi dipaksain"
Della_JKT48,@Yona_JKT48 adududuh
Della_JKT48,Jadi perjanjiannyaa kita harus ngobrol dan bcnda terus kalo lagi dijalan gaboleh ada yg tidurr gtu kan. jadi walaupun ngantuk ttp cnd twa
Della_JKT48,"Hallo aku baru bangun,lelah sekali perjalanan kemarin walaupun cuma duduk aja ahhaha Tapi overall menyenangkan"
Della_JKT48,Yahh semoga dedek2 kita ini makin bahagia dengan adanya cobaan dari kami
Della_JKT48,"Abis nya aku nya bosen Trus kaya punya ide,trus pas banget lgi pada nyari hiburan dijalan kejakarta Jadinyaa gtu deh&gt;_&lt;"
Della_JKT48,Akirnya sekarang sampai jakarta juga Sekarang lagi masih duduk ditransportasi online Btw tadi isengin lintang yuri sama okta Seru yaa
Della_JKT48,@Pucchi_JKT48
Della_JKT48,@S_OktaJKT48 peyuk dulu sinihh
Della_JKT48,@SLintang_JKT48 @Via_JKT48 @Sisil_JKT48 udah terimaa aja
Della_JKT48,@Yuriva_JKT48 @Via_JKT48 @Sisil_JKT48 bahagia kan habis itu
Della_JKT48,@IinKawaii
Della_JKT48,RT @Yona_JKT48: So much fun
Della_JKT48,@R_AninJKT48 hbd y
Della_JKT48,RT @melodyJKT48: Ada tamu nih
Della_JKT48,"Nyoba minum kopi malah kaya obat tidur, makin ngantuk sekali"
Della_JKT48,Ada siapa nihhhhh ???
Della_JKT48,Tadi udh videcall kamelo.abis itu kita janjian disuatu tempat trus kita suruh kamelo pake baju bagus dan cantik biar gk kalah sma kita
Della_JKT48,Lagi abis mandi dan sekarang lagi maskeran haahah Masker nya ada dua jadi berbagi sama sisil .. Aktifitasnya ngp aja nih hari ini ??
Della_JKT48,Hay halloo
Della_JKT48,"@SaragihReno cie cemburu,mau ikut yah ??"
Della_JKT48,Nyasar pertama kali di 2017
Della_JKT48,Mau kemana kita~
Della_JKT48,"Churros itu Itu tuh mata uang""euro"" Wahhh*kabur"
Della_JKT48,Kenapa malam2 ini beredar foto2 churros :( *belomkesampeandaritahunkemarin
Della_JKT48,Malam ini kegiatannya mau packing buat besok yihaaaa
Della_JKT48,Ahkirnya rambut ini kembali seperti semulaaa &gt;_&lt; Gimana nih aktivitas hari ini? Smoga bahagia dan slalu bercanda terus ya
Della_JKT48,@Melati_JKT48 hbd
Della_JKT48,@kinalJKT48 hbd
Della_JKT48,Lagi jalan2sama sodara dan keluarga hahaha Kalian apa aktivitasnyaa ?
Della_JKT48,Jd kmrin2pingin banget Terus emang gkada waktu Terus cuma liatin foto foto churros di instagram Pas mau beli churrosnya udh pndah tmpt:(
Della_JKT48,"Halloooo selamat 1 januari 2017 Harapan yg belom tersampaikan dari tahun lalu sama sekarang adalah"" makan churros"""
Della_JKT48,Baru masuk nih pada#hal udah dari jam 12 eheheh&gt;_&lt; new year ya dan happy sundayyyy god bless
Della_JKT48,"Happy new year dari banyaknya asap bakar 4,5 jamm uhuwww god bleesss"
Della_JKT48,"Yah intinya gtu kwwk Yaudah aku mau siap2 dlu,kalian jangan lupa bahagia yah"
Della_JKT48,Btw gaberasa yah udah mau tahun depan Berartitahun depan udah kuliah udah 19 tahun udah jalan 5 tahun djkt Udah ...??? Apalagi yah
Della_JKT48,Sebenernya kegiatannya sebentar lagi Tapi aku nya masih ngantuk dan malas dkasur gtu Enak banget kaya nyaman nyaman didekat .. gtu
Della_JKT48,Kegiatannya hari ini dari malam new year sampe new year nya haahha Kalian kemana nih ?
Della_JKT48,"""Iya aja,biar cepat"""
Della_JKT48,Tadi bareng tante shaniaa Terus sekarang udah sampai rumah Mau mandi abis itu bobo Good night yaap yap yap
Della_JKT48,@shaniaJKT48 dbekasi gkada yg makanan kaya gini :(
Della_JKT48,"Adududuh kenyang banget nih habis makan ramen,curry rice,mochi ,sama karaage :( Trus tadi liat sate jeoang kata shania jangan""nanti meledak"""
Della_JKT48,"@melodyJKT48 @shaniaJKT48 nanti kangen ,jangan ngejar2 yah"
Della_JKT48,@Dena_JKT48 @Sisil_JKT48 peyuk sinii
Della_JKT48,Tadi abis makan sama anin viny nadila yona dan manda Seru sekali hari ini Dan banyak ngelakuin hal yg buat sukacita uw
Della_JKT48,Iya share fotonya nanti yah pas rambutnya hitam ahhaha
Della_JKT48,Makasih buat event hari ini yah.gimana?enak kan crepes buatan aku Tadi udah sold out Maaf yah yg gk kebagian Next time aja
Della_JKT48,Hay tadi sesi 1 aku jadi mc sama acha Haha seru lho Jdi nanti jangan lupa datang disesi sesi selanjut ya di #JKT48Cafe byk yg segar2
Della_JKT48,Apalagi tante shania Kalo ngomong ekspresinya gerak smua *kabur
Della_JKT48,@DebbyshintaLova debby mah jahat Dibongkar !!!! Kan rahasia itu Namanya juga anak2
Della_JKT48,Sbenernya aku lebih suka ngobrol sma tante2 gitu Seruh gtu Kalo cerita ada ekspresinya agahah
Della_JKT48,Ternyata smua org punya masa masa2 yg menggemaskan kalo dceritakan kembali dmasa depan aku jdi senyum2 gtu pas dgrin ceritanya
Della_JKT48,Pulang bareng gracia Seru banget djalan ngobrol2 sma mama papanya gtu Awalny aku kepo gtu masa mudanya tante om gmna Lama2 kt keasikan
Della_JKT48,Aku dkatain ayam terus nih sama member2 efek rambut ny belom dicat hitam kembali
Della_JKT48,Iya aku lgi pingin makan banyak soalny smua blg aku kurus Tapi makan aja ga habis ahahah
Della_JKT48,Aku sma sisil nonton kan dibioskop Trus makanannya aku taro dbangku kosong Eh pas udh djalan baru ingt kalo ketinggalan:( uww
Della_JKT48,"Jadi hari ini ngelakuin hal sedih gitu Jadi tadi pas lgi nunggu latihan aku makan kan,abis itu gk habis dan masih banyak Terus.."
Della_JKT48,Hallo gmna hari ini??? Bahagia ngga?jangan lupa bercanda yah hahah Kalo aku hari ini bahagia nih
Della_JKT48,"RT @RChikanoJKT48: Apa kabar devilsattack??sekarang udah sombong nih,udah lupa ya sama Siti Siti sering mimpi kalian kalian juga nggak??"
Della_JKT48,Aduh lgi di newyork nih gkada signal ntr dulu y
Della_JKT48,@Nat_JKT48 hbd
Della_JKT48,Go go go We are crazy girl Come come come U are lazy boy ...
Della_JKT48,Klo dkamera emg gkgtu keliatan Kalo aslinya terlihat gtucdeh hahahah
Della_JKT48,Ini nih yg kaya ayam~
